,title,links,size,language
19,Summa contra Gentiles,https://download.library.lol/main/4180000/3ad6ecad6f6678b147a6c86fb5777823/Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20One%2CGod-University%20of%20Notre%20Dame%20Press%20%281975%29.pdf,19 Mb,English
20,Summa contra Gentiles,https://download.library.lol/main/4180000/fb81325d1d5840982132aed1de17d75f/Saint%20Thomas%20Aquinas%2C%20Charles%20J.%20O%27Neil%20-%20Summa%20Contra%20Gentiles_%20Volumes%201-4%20in%20Five%20Books-Univ%20of%20Notre%20Dame%20Pr%20%281976%29.pdf,6 Mb,English
21,Summa contra Gentiles,https://download.library.lol/main/4181000/d9289a1ab482fcfe93549129cb202443/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20Two_%20Creation-University%20of%20Notre%20Dame%20Press%20%281976%29.epub,2 Mb,English
22,Summa contra Gentiles,https://download.library.lol/main/4181000/71831d882f1e061c668fc6e4080b730d/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20Two_%20Creation-University%20of%20Notre%20Dame%20Press%20%281976%29.pdf,28 Mb,English
23,Summa contra Gentiles,https://download.library.lol/main/4181000/eb8414f983023f156030b0f728dd017f/St.%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%20Three_%20Providence_%20Part%20II-University%20of%20Notre%20Dame%20Press%20%281975%29.pdf,8 Mb,English
24,Summa contra Gentiles,https://download.library.lol/main/4181000/e451c05e6b3b4ff1f617140fc0361ba5/Saint%20Thomas%20%28Aquinas%29_%20Thomas%20Aquinas%20-%20Summa%20Contra%20Gentiles_%20Book%204_%20Salvation%20%281975%29.pdf,8 Mb,English
25,Institutes of the Christian Religion,https://download.library.lol/main/659000/1eb5c69b57d074c1dc35807382d01e42/John%20Calvin%20-%20Calvin_%20Institutes%20of%20the%20Christian%20Religion%2C%20Volume%201.%201-Westminster%20John%20Knox%20Press%20%281960%29.pdf,17 Mb,English
26,Institutes of the Christian Religion,https://download.library.lol/main/729000/1b5856f365185ea1e3cd8e67afba0824/John%20Calvin%2C%20John%20T.%20McNeill%2C%20Ford%20Lewis%20Battles%20-%20Institutes%20of%20the%20Christian%20Religion%2C%20Volume%202%20%20-Westminster%20John%20Knox%20Press%20%281960%29.pdf,16 Mb,English
27,Institutes of the Christian Religion,https://download.library.lol/main/2377000/761928fe132de584f80ee58889a4b623/John%20Calvin_%20John%20Thomas%20McNeill_%20Ford%20Lewis%20Battles%20-%20Institutes%20of%20the%20Christian%20Religion%2C%202%20Vols-Westminster_John%20Knox%20Press%20%28Philadelphia%29%20%282016%29.pdf,17 Mb,English
28,Institutes of the Christian Religion,https://download.library.lol/main/2690000/ee3425d3b2669674bea6cb1ca990b52e/Calvin%2C%20John%20-%20Institutes%20of%20the%20Christian%20Religion-Signalman%20Publishing%20%282008%29.mobi,2 Mb,English
29,Institutes of the Christian Religion,https://download.library.lol/main/3579000/cfac1a586c09965a15bfb63fa10a6ea4/John%20Calvin%20-%20Institutes%20of%20the%20Christian%20Religion_%20The%20Basics%20of%20Protestant%20Theology-e-artnow%20%282021%29.epub,3 Mb,English
30,Institutes of the Christian Religion,https://download.library.lol/main/4161000/f770c76742e548db09b449afab4f6580/Jean%20Calvin%2C%20John%20T.%20McNeill%20%28editor%29%20-%20Calvin_%20Institutes%20of%20the%20Christian%20Religion%20%282%20Volume%20Set%29-Westminster%20Press%20%281960%29.epub,18 Mb,English
31,Institutes of the Christian Religion,https://download.library.lol/main/4248000/730dacbdb880ce7123d79961d6b742cb/John%20T.%20McNeill%20%28editor%29%20-%20Calvin_%20Institutes%20of%20the%20Christian%20Religion%20%282%20volume%20set%29-Westminster_John%20Knox%20Press%20%281960%29.pdf,269 Mb,English
32,Institutes of the Christian Religion,https://download.library.lol/main/4337000/b6b69c126897ff9b14767554ec3df0d1/John%20Calvin%2C%20Henry%20Beveridge%20%28translator%29%20-%20The%20Institutes%20of%20Christian%20Religion%20%282017%29.pdf,11 Mb,English
33,Systematic Theology,https://download.library.lol/main/327000/32f71b8bb724f7e8c8432f961e71ea39/J.%20Rodman%20Williams%20-%20Renewal%20Theology_%20God%2C%20the%20World%20and%20Redemption%20_%20Systematic%20Theology%20from%20a%20Charismatic%20Perspective-Zondervan%20%281988%29.pdf,29 Mb,English
34,Systematic Theology,https://download.library.lol/main/327000/7fb99bdabeb08521974f9a745cdc049c/Wayne%20Grudem%20-%20Systematic%20Theology_%20An%20Introduction%20to%20Biblical%20Doctrine-Ivp%20%281994%29.pdf,6 Mb,English
35,Systematic Theology,https://download.library.lol/main/344000/9eb750538a2828d152da98bd7b37b532/Lewis%20Sperry%20Chafer%20-%20Systematic%20Theology%20-Kregel%20Academic%20%26%20Professional%20%281993%29.pdf,2 Mb,English
36,Systematic Theology,https://download.library.lol/main/405000/81af5b16872d18ad4bf453114351b65c/Benjamin%20J.%20King%20-%20Newman%20and%20the%20Alexandrian%20Fathers_%20Shaping%20Doctrine%20in%20Nineteenth-Century%20England%20%28Changing%20Paradigms%20in%20Historical%20and%20Systematic%20Theology%29%20%282009%29.pdf,1010 Kb,English
37,Systematic Theology,https://download.library.lol/main/417000/72bb444ac59f1ae2fcaa81ea3646cb6c/Keith%20L.%20Johnson%20-%20Karl%20Barth%20and%20the%20Analogia%20Entis%20%28T%26T%20Clark%20Studies%20in%20Systematic%20Theology%29%20%282010%29.pdf,1 Mb,English
38,Systematic Theology,https://download.library.lol/main/438000/59031a2e4f7c7eefb9c8939a070b77eb/John%20D.%20Dadosky%20-%20Meaning%20and%20History%20in%20Systematic%20Theology_%20Essays%20in%20Honor%20of%20Robert%20M.%20Doran%2C%20Sj%20%282009%29.pdf,2 Mb,English
39,Systematic Theology,https://download.library.lol/main/448000/f6a607a5a384d3cf3486d273d91dcd89/Huang%20-%20Confronting%20Confucian%20Understandings%20of%20the%20Christian%20Doctrine%20of%20Salvation%20%28Studies%20in%20Systematic%20Theology%29%20%282009%29.pdf,1 Mb,English
40,Systematic Theology,https://download.library.lol/main/480000/ce12e28a0c093a3f03a21f7ea1fcaff2/Kenneth%20Surin%20-%20The%20Turnings%20of%20Darkness%20and%20Light_%20Essays%20in%20Philosophical%20and%20Systematic%20Theology%20%281989%29.pdf,9 Mb,English
41,Systematic Theology,https://download.library.lol/main/488000/c45b17945f9ee546e8a2566075c0bdc4/Robert%20W.%20Jenson%20-%20Systematic%20Theology_%20Volume%202_%20The%20Works%20of%20God%20%281999%29.pdf,8 Mb,English
42,Systematic Theology,https://download.library.lol/main/491000/c1996decaf18d9ef5c6c58fd9f6ddc15/Osborne%20-%20A%20Theology%20of%20the%20Church%20for%20the%20Third%20Millennium_%20A%20Franciscan%20Approach%20%28Studies%20in%20Systematic%20Theology%29%20%282009%29.pdf,1 Mb,English
43,Systematic Theology,https://download.library.lol/main/500000/b6d1116d07dd1b5e840be7d3087dfca3/David%20Gibson%20-%20Reading%20the%20Decree_%20Exegesis%2C%20Election%20and%20Christology%20in%20Calvin%20and%20Barth%20%28T%26T%20Clark%20Studies%20in%20Systematic%20Theology%29-T%26T%20Clark%20Int%27l%20%282009%29.pdf,1 Mb,English
44,Systematic Theology,https://download.library.lol/main/576000/10ff42a8bcec53776803639f815da4ce/Paul%20S.%20Chung%20-%20Constructing%20Irregular%20Theology.%20Bamboo%20and%20Minjung%20in%20East%20Asian%20Perspective%20%20%28Studies%20in%20Systematic%20Theology%201%29%20%282009%29.pdf,719 Kb,English
45,Systematic Theology,https://download.library.lol/main/581000/08ff7a848bf53766d08963ad34e43835/James%20William%20McClendon%20-%20Systematic%20Theology%2C%20Vol.%201_%20Ethics%20%282002%29.pdf,959 Kb,English
46,Systematic Theology,https://download.library.lol/main/625000/06c6cbcd1d0c10d76be836956e806df7/Wayne%20Grudem%20-%20Systematic%20Theology_%20An%20Introduction%20to%20Biblical%20Doctrine-Zondervan%20%281994%29.pdf,6 Mb,English
47,Systematic Theology,https://download.library.lol/main/660000/218f7c45ea282891c3e046741f11adaf/Colin%20E.%20Gunton%20-%20The%20Triune%20Creator_%20A%20Historical%20%26%20Systematic%20Study%20%28Edinburgh%20Studies%20in%20Constructive%20Theology%29-Wm.%20B.%20Eerdmans%20Publishing%20Company%20%281998%29.pdf,2 Mb,English
48,Systematic Theology,https://download.library.lol/main/673000/a0de3f8fd1daac714f8736539e054329/Robert%20M.%20Doran%20-%20What%20is%20systematic%20theology_-University%20of%20Toronto%20Press%20%282005%29.pdf,3 Mb,English
49,Systematic Theology,https://download.library.lol/main/673000/244ef8b31919dfc9e5704fe92659ff0e/Robert%20W.%20Jenson%20-%20Systematic%20Theology.%20Volume%201.%20The%20Triune%20God-Oxford%20University%20Press%20%281997%29.pdf,48 Mb,English
50,Systematic Theology,https://download.library.lol/main/686000/80d79734badd87d7213f3bb8239b9a0b/Robert%20W.%20Jenson%20-%20Systematic%20Theology_%20Volume%202.The%20works%20of%20God-Oxford%20University%20Press%20%281999%29.pdf,40 Mb,English
51,Systematic Theology,https://download.library.lol/main/692000/9796d64061efd199ef648e42c9f5b4d0/Paul%20Louis%20Metzger%20-%20Trinitarian%20soundings%20in%20systematic%20theology-Continuum%20International%20Publishing%20Group%20%282005%29.pdf,12 Mb,English
52,Systematic Theology,https://download.library.lol/main/730000/1f07288ae327cc5d606a1338660646b9/Paul%20Louis%20Metzger%20-%20Trinitarian%20Soundings%20in%20Systematic%20Theology%20%20-T%26T%20Clark%20Int%27l%20%282006%29.pdf,12 Mb,English
53,Systematic Theology,https://download.library.lol/main/732000/27fd062a3cfadfafc962c14441939426/Mr.%20Joel%20B.%20Green%2C%20Mr.%20Max%20Turner%20%28eds.%29%20-%20Between%20Two%20Horizons_%20Spanning%20New%20Testament%20Studies%20and%20Systematic%20Theology%20%20-Wm.%20B.%20Eerdmans%20Publishing%20Co.%20%281999%29.pdf,53 Mb,English
54,Systematic Theology,https://download.library.lol/main/749000/6d45e5d55f8e423f6e48b52097582d46/Mr.%20Joel%20B.%20Green%2C%20Mr.%20Max%20Turner%20-%20Between%20Two%20Horizons_%20Spanning%20New%20Testament%20Studies%20and%20Systematic%20Theology%20%20-Wm.%20B.%20Eerdmans%20Publishing%20Co.%20%281999%29.pdf,60 Mb,English
55,Reformed Dogmatics,https://download.library.lol/main/2689000/f60d840f96e7c379308c0b64c43edf75/Herman%20Hoeksema%20-%20Reformed%20Dogmatics%20%28Volume%201%29.epub,598 Kb,English
56,Reformed Dogmatics,https://download.library.lol/main/2689000/15739c1518252f3f71f2fbcad494cc2b/Herman%20Hoeksema%20-%20Reformed%20Dogmatics%20%28Volume%202%29.epub,669 Kb,English
57,Reformed Dogmatics,https://download.library.lol/main/3051000/ea79703918a291ff5c1b583bc5ddc7ca/Michael%20Allen_%20Scott%20R.%20Swain%20-%20Christian%20Dogmatics_%20Reformed%20Theology%20for%20the%20Church%20Catholic-Baker%20Academic%20%282016%29.epub,1 Mb,English
58,Reformed Dogmatics,https://download.library.lol/main/3136000/91debdfa4c0af2ee91c9ec9e1bb8e300/Geerhardus%20Vos_%20Richard%20B.%20Gaffin%20Jr.%20-%20Reformed%20Dogmatics_%20Anthropology-Lexham%20Press%20%282014%29.pdf,3 Mb,English
59,Reformed Dogmatics,https://download.library.lol/main/3215000/39a5d7d84026dedcbbd0a33d44c990b3/Richard%20A.%20Muller%20-%20Post-Reformation%20Reformed%20Dogmatics_%20The%20Rise%20and%20Development%20of%20Reformed%20Orthodoxy%2C%20ca.%201520%20to%20ca.%201725.%20Volume%20IV-Baker%20Academic%20%282003%29.pdf,37 Mb,English
60,Reformed Dogmatics,https://download.library.lol/main/3215000/cb39fa87c550770842282ccc112fd73b/Richard%20A.%20Muller%20-%20Post-Reformation%20Reformed%20Dogmatics_%20The%20Rise%20and%20Development%20of%20Reformed%20Orthodoxy%2C%20ca.%201520%20to%20ca.%201725.%20Volume%20I-Baker%20Academic%20%282003%29.pdf,31 Mb,English
61,Reformed Dogmatics,https://download.library.lol/main/3215000/bf4f4bafe86cb6d139798eed708dc512/Richard%20A.%20Muller%20-%20Post-Reformation%20Reformed%20Dogmatics_%20The%20Rise%20and%20Development%20of%20Reformed%20Orthodoxy%2C%20ca.%201520%20to%20ca.%201725.%20Volume%20II-Baker%20Academic%20%282003%29.pdf,36 Mb,English
62,Reformed Dogmatics,https://download.library.lol/main/3215000/f58ae6c51704a075947ff2cb6c31ffed/Richard%20A.%20Muller%20-%20Post-Reformation%20Reformed%20Dogmatics_%20The%20Rise%20and%20Development%20of%20Reformed%20Orthodoxy%2C%20ca.%201520%20to%20ca.%201725.%20Volume%20III-Baker%20Academic%20%282003%29.pdf,41 Mb,English
63,Reformed Dogmatics,https://download.library.lol/main/3304000/18c83ca161101d7e9aec5167dfa7b0e1/Geerhardus%20Vos_%20Richard%20B.%20Gaffin%20Jr.%20-%20Reformed%20Dogmatics_%20Theology%20Proper-Lexham%20Press%20%282014%29.pdf,4 Mb,English
64,Reformed Dogmatics,https://download.library.lol/main/3305000/383a99b2dfd57df680fe2ff55dc8a281/Geerhardus%20J.%20Vos%20-%20Reformed%20Dogmatics_%20Christology_%203-Lexham%20Press%20%282015%29.pdf,4 Mb,English
65,Reformed Dogmatics,https://download.library.lol/main/3305000/d5ccd25b2b5cad0f1d72fe00719ef735/Geerhardus%20Vos%20-%20Reformed%20Dogmatics_%20Ecclesiology%2C%20the%20Means%20of%20Grace%2C%20Eschatology-Lexham%20Press%20%282016%29.pdf,3 Mb,English
66,Reformed Dogmatics,https://download.library.lol/main/3305000/1f6d6f58d45d9f5c236498ee3874016b/Geerhardus%20J.%20Vos%20-%20Reformed%20Dogmatics_%20Soteriology-Lexham%20Press%20%282015%29.pdf,4 Mb,English
67,Reformed Dogmatics,https://download.library.lol/main/3411000/93213b7b5723655643f946b9b6675544/Uche%20Anizor%20-%20Reformed%20Dogmatics%20in%20Dialogue_%20The%20Theology%20of%20Karl%20Barth%20and%20Jonathan%20Edwards-Lexham%20Press%20%282022%29.epub,4 Mb,English
68,Reformed Dogmatics,https://download.library.lol/main/3558000/047d4b30a781aab9c10b77b72254fe2e/Herman%20Bavinck%20-%20Reformed%20Dogmatics_%20Abridged%20in%20One%20Volume-Baker%20Publishing%20Group%20%282011%29.epub,4 Mb,English
69,Reformed Dogmatics,https://download.library.lol/main/4179000/aac11fc11fa849a116fd729243b35859/Geerhardus%20Vos%2C%20Richard%20B.%20Gaffin%20Jr.%20%28editor%29%20-%20Reformed%20Dogmatics_%20Anthropology-Lexham%20Press%20%282014%29.epub,8 Mb,English
70,Reformed Dogmatics,https://download.library.lol/main/4179000/1001ec496bc445fbb79735da86a84b98/Geerhardus%20J.%20Vos%20-%20Reformed%20Dogmatics_%20Theology%20Proper-Lexham%20Press%20%282014%29.epub,5 Mb,English
71,Reformed Dogmatics,https://download.library.lol/main/4179000/0faf5795ff294c709c4a8db4ba697e2b/Geerhardus%20J.%20Vos%20-%20Reformed%20Dogmatics_%20Soteriology-Lexham%20Press%20%282015%29.epub,5 Mb,English
72,Reformed Dogmatics,https://download.library.lol/main/4179000/ec93b6fa959201617b86a473474ae93c/Geerhardus%20J.%20Vos%20-%20Reformed%20Dogmatics_%20Christology-Lexham%20Press%20%282015%29.epub,8 Mb,English
73,Reformed Dogmatics,https://download.library.lol/main/4179000/9106f5951a18f2ea53bc92d0485dc80a/Geerhardus%20J.%20Vos%20-%20Reformed%20Dogmatics_%20Ecclesiology%2C%20The%20Means%20of%20Grace%2C%20Eschatology-Lexham%20Press%20%282016%29.epub,5 Mb,English
74,Reformed Dogmatics,https://download.library.lol/main/4179000/72290b967dab72d3f8298f3c5038c190/Uche%20Anizor%20%28editor%29%2C%20Kyle%20C.%20Strobel%20%28editor%29%2C%20Kyle%20Strobel%20%28editor%29%20-%20Reformed%20Dogmatics%20in%20Dialogue_%20The%20Theology%20of%20Karl%20Barth%20and%20Jonathan%20Edwards%20%28Studies%20in%20Historical%20and%20Systematic%20Theology%29-.epub,4 Mb,English
75,Reformed Dogmatics,https://download.library.lol/main/4332000/5680fde7bf8d627c74d3427c1578decd/Herman%20Bavinck%2C%20John%20Bolt%20%28editor%29%2C%20John%20Vriend%20%28translator%29%20-%20Reformed%20Dogmatics_%20Holy%20Spirit%2C%20Church%2C%20and%20New%20Creation.%204-Baker%20Academic%20%282008%29.pdf,50 Mb,English
76,Systematic Theology,https://download.library.lol/main/327000/32f71b8bb724f7e8c8432f961e71ea39/J.%20Rodman%20Williams%20-%20Renewal%20Theology_%20God%2C%20the%20World%20and%20Redemption%20_%20Systematic%20Theology%20from%20a%20Charismatic%20Perspective-Zondervan%20%281988%29.pdf,29 Mb,English
77,Systematic Theology,https://download.library.lol/main/327000/7fb99bdabeb08521974f9a745cdc049c/Wayne%20Grudem%20-%20Systematic%20Theology_%20An%20Introduction%20to%20Biblical%20Doctrine-Ivp%20%281994%29.pdf,6 Mb,English
78,Systematic Theology,https://download.library.lol/main/344000/9eb750538a2828d152da98bd7b37b532/Lewis%20Sperry%20Chafer%20-%20Systematic%20Theology%20-Kregel%20Academic%20%26%20Professional%20%281993%29.pdf,2 Mb,English
79,Systematic Theology,https://download.library.lol/main/405000/81af5b16872d18ad4bf453114351b65c/Benjamin%20J.%20King%20-%20Newman%20and%20the%20Alexandrian%20Fathers_%20Shaping%20Doctrine%20in%20Nineteenth-Century%20England%20%28Changing%20Paradigms%20in%20Historical%20and%20Systematic%20Theology%29%20%282009%29.pdf,1010 Kb,English
80,Systematic Theology,https://download.library.lol/main/417000/72bb444ac59f1ae2fcaa81ea3646cb6c/Keith%20L.%20Johnson%20-%20Karl%20Barth%20and%20the%20Analogia%20Entis%20%28T%26T%20Clark%20Studies%20in%20Systematic%20Theology%29%20%282010%29.pdf,1 Mb,English
81,Systematic Theology,https://download.library.lol/main/438000/59031a2e4f7c7eefb9c8939a070b77eb/John%20D.%20Dadosky%20-%20Meaning%20and%20History%20in%20Systematic%20Theology_%20Essays%20in%20Honor%20of%20Robert%20M.%20Doran%2C%20Sj%20%282009%29.pdf,2 Mb,English
82,Systematic Theology,https://download.library.lol/main/448000/f6a607a5a384d3cf3486d273d91dcd89/Huang%20-%20Confronting%20Confucian%20Understandings%20of%20the%20Christian%20Doctrine%20of%20Salvation%20%28Studies%20in%20Systematic%20Theology%29%20%282009%29.pdf,1 Mb,English
83,Systematic Theology,https://download.library.lol/main/480000/ce12e28a0c093a3f03a21f7ea1fcaff2/Kenneth%20Surin%20-%20The%20Turnings%20of%20Darkness%20and%20Light_%20Essays%20in%20Philosophical%20and%20Systematic%20Theology%20%281989%29.pdf,9 Mb,English
84,Systematic Theology,https://download.library.lol/main/488000/c45b17945f9ee546e8a2566075c0bdc4/Robert%20W.%20Jenson%20-%20Systematic%20Theology_%20Volume%202_%20The%20Works%20of%20God%20%281999%29.pdf,8 Mb,English
85,Systematic Theology,https://download.library.lol/main/491000/c1996decaf18d9ef5c6c58fd9f6ddc15/Osborne%20-%20A%20Theology%20of%20the%20Church%20for%20the%20Third%20Millennium_%20A%20Franciscan%20Approach%20%28Studies%20in%20Systematic%20Theology%29%20%282009%29.pdf,1 Mb,English
86,Systematic Theology,https://download.library.lol/main/500000/b6d1116d07dd1b5e840be7d3087dfca3/David%20Gibson%20-%20Reading%20the%20Decree_%20Exegesis%2C%20Election%20and%20Christology%20in%20Calvin%20and%20Barth%20%28T%26T%20Clark%20Studies%20in%20Systematic%20Theology%29-T%26T%20Clark%20Int%27l%20%282009%29.pdf,1 Mb,English
87,Systematic Theology,https://download.library.lol/main/576000/10ff42a8bcec53776803639f815da4ce/Paul%20S.%20Chung%20-%20Constructing%20Irregular%20Theology.%20Bamboo%20and%20Minjung%20in%20East%20Asian%20Perspective%20%20%28Studies%20in%20Systematic%20Theology%201%29%20%282009%29.pdf,719 Kb,English
88,Systematic Theology,https://download.library.lol/main/581000/08ff7a848bf53766d08963ad34e43835/James%20William%20McClendon%20-%20Systematic%20Theology%2C%20Vol.%201_%20Ethics%20%282002%29.pdf,959 Kb,English
