,title,links,size,language
21,La Cité de Dieu,https://download.library.lol/main/358000/e9e558d9db7451c12c3991a063bac5ca/Augustine%20of%20Hippo%20St%20-%20La%20cit%C3%A9%20de%20dieu.rar,1005 Kb,French
22,Les Confessions,https://download.library.lol/main/358000/99c0da3df6516400670cc9f89e9aa398/Augustine%20of%20Hippo%20St%20-%20Les%20confessions.rar,281 Kb,French
23,Les Confessions,https://download.library.lol/main/360000/a448bf2cc2468ba6b35090dbf7de5c7a/Rousseau%20Jean-Jacques%20-%20Les%20confessions.doc,2 Mb,French
24,Les Confessions,https://download.library.lol/main/661000/fa6f4c40d25a6de990fcf0587d4c4d1e/John%20Perkins%20-%20Les%20confessions%20d%27un%20assassin%20financier-Ariane%20%282005%29.pdf,61 Mb,French
25,Les Confessions,https://download.library.lol/main/1490000/5afbd3b3d26e9102c559be87c64866f3/John%20Perkins%20-%20Les%20confessions%20d%E2%80%99un%20assassin%20financier-Ariane%20%282005%29.pdf,20 Mb,French
26,Les Confessions,https://download.library.lol/main/1574000/0079eda404e1768f822017964bce0e9d/John%20Perkins%20-%20Les%20confessions%20d%E2%80%99un%20assassin%20financier-Ariane%20%282005%29.epub,504 Kb,French
27,Les Confessions,https://download.library.lol/main/1688000/dfce832c8ea9b3c1f8bc8dba7dc74c51/Saint%20Augustin%20-%20Les%20Confessions-Flammarion%20%281964%29.pdf,12 Mb,French
28,Les Confessions,https://download.library.lol/main/1711000/a9572398b42dc7b6a6425d7ce4dd9d88/Fr%C3%A9d%C3%A9ric%20Dard%20-%20Les%20confessions%20de%20l%E2%80%99ange%20noir.epub,3 Mb,French
29,Les Confessions,https://download.library.lol/main/2496000/03c2aa781745f1f36e975c3216a18bd4/Madeleine%20B.%20Ellis%20-%20Rousseau%27s%20Venetian%20Story_%20An%20Essay%20Upon%20Art%20and%20Truth%20in%20Les%20Confessions%20%281966%29.pdf,42 Mb,English
30,Les Confessions,https://download.library.lol/main/2847000/fa812403a623421ddeb273e2ab739126/Hippo%2C%20Augustine%20of_Boyer%2C%20Fr%C3%A9d%C3%A9ric%20-%20Les%20aveux_%20nouvelles%20traductions%20des%20Confessions-P.%20O.%20L._POL%20Editeur%20%282008%29.epub,509 Kb,French
31,Les Confessions,https://download.library.lol/main/3026000/069a152d71885c5f14c26362d59a92de/Paul%20Gilbert%20-%20Confessions%20de%20chefs%20_%20leurs%20meilleures%20adresses-Les%20%C3%89ditions%20La%20Presse%20%282014%29.epub,106 Mb,French
32,Les Confessions,https://download.library.lol/main/3146000/ce2dab1ebd4af2ab520e6cc770870acf/Les%20Essif%20-%20A%20Life%20Out%20of%20Whack_%20Confessions%20and%20Reflexions%20of%20an%20Un-American%20All-American-Guernica%20World%20Editions%20%282018%29.epub,442 Kb,English
33,Les Confessions,https://download.library.lol/main/3164000/a42e40591693522747e17a719d4aa2bd/Les%20Essif%20-%20A%20Life%20Out%20of%20Whack%2C%20Volume%205_%20Confessions%20and%20Reflexions%20of%20an%20Un-American%20All-American-Guernica%20World%20Editions%20%282018%29.mobi,782 Kb,English
34,Les Confessions,https://download.library.lol/main/3742000/0c80c628794825f256848cb463f697f3/Ga%C3%ABlle%20Jeanmart%20-%20Herm%C3%A9neutique%20et%20subjectivit%C3%A9%20dans%20les%20Confessions%20d%27Augustin.pdf,4 Mb,French
35,Les Confessions,https://download.library.lol/main/3873000/7417edac118bc779e6afb4790b04bf17/Saint%20Augustin%20-%20Les%20Confessions%20de%20Saint%20Augustin_%20le%20t%C3%A9moignage%20d%27Augustin%20d%27Hippone%20sur%20sa%20qu%C3%AAte%20spirituelle-Books%20on%20Demand%20%282019%29.epub,565 Kb,French
36,Les Confessions,https://download.library.lol/main/4327000/50df109aa6858a9338a9cee1a002e3df/Tom%20Felton%20-%20Par-del%C3%A0%20la%20magie%20_%20les%20confessions%20d%27un%20sorcier-Leduc%20%282023%29.epub,2 Mb,French
37,De la Trinité (De Trinitate),https://download.library.lol/main/358000/4ed80acedd5a1ee90b4287b04292bb40/Augustine%20of%20Hippo%20St%20-%20De%20la%20Trinit%C3%A9%20%28De%20trinitate%29.rar,399 Kb,French
38,L'Evangile selon saint Jean,https://download.library.lol/main/2536000/7fbfdd9d9341513de24737f875e25931/Jean%20Grosjean_%20Saint%20Jean%20-%20L%27Ironie%20christique_%20Commentaire%20de%20l%27%C3%89vangile%20selon%20Jean-Editions%20Gallimard%20%282013%29.epub,517 Kb,French
