Bible liturgique
Bible de Jérusalem
TOB
Bible en français courant
Bible Parole de Vie
Bible Segond 1910
Bible Segond 21
Bible Darby
Bible Semeur
Summa Theologica (Somme Théologique)
Summa contra Gentiles (Somme contre les gentils) 
Institution de la Religion Chrétienne (IRC)
Dogmatique
Introduction à la théologie évangélique
La personne du Christ
La doctrine du Christ
La doctrine du péché et de la rédemption
La doctrine de l'Eglise et des sacrements
L'espérance chrétienne
La grâce (étonnante) de Dieu 
La foi chrétienne hier et aujourd'hui
Symbole des Apôtres
Symbole d'Athanase (Quicumque)
Symbole de Nicée/Constantinople
Symbole de Chalcédoine
Petit Catéchisme de Luther
Confession de Foi d'Augsbourg 
Catéchisme de Heidelberg
Confession de Foi de la Rochelle
Confessio Belgica
Canons de Dordrecht
Confession de Foi de Westminster
Petit Catéchisme de Westminster
Grand Catéchisme de Westminter
Confession de Foi baptiste de Londres
Catéchisme de l'Eglise Catholique
Nouveau Catéchisme pour la cité
Les Pères Apostoliques
Histoire Ecclésiastique 
L'Eglise des premiers temps : des origines à la fin du IIIème siècle
La vie de saint Augustin
La Cité de Dieu
Les Confessions
De la Trinité (De Trinitate)
Les Pères de l'Eglise : de Clément de Rome à saint Augustin
Quand notre monde est devenu chrétien
Le livre des martyrs de John Foxe
Révélation des origines
Comprendre Genèse 1-11 aujourd'hui
Genèse 1 à 11 —  
Exode pour toi
Josué — la conquête de la terre promise
Juges pour toi
Job : le malheur et la foi
Pour apprendre à vivre la vie telle qu'elle est
La raison d'être — Méditation sur l'Ecclésiaste
Le message d'Esaïe
Le message de Jérémie
Le destin des nations — Une étude littéraire du livre de Daniel
Les grands points des petits prophètes
"Les livres des prophètes — Introduction à Abdias, Joël, Amos, Osée, Michée"
Comprendre Matthieu 1-13 aujourd'hui
Comprendre Matthieu 14-28 aujourd'hui
Matthieu 5-7 : le Sermon sur la montagne
L'Evangile selon saint Luc
L'Evangile selon saint Jean
Les Actes des Apôtres
Lettre de saint Paul aux Romains — Clés de lecture
Romains 5-8 : Des hommes nouveaux
Galates ou l'évangile en crise
Ephésiens — Commentaire pratique du Nouveau Testament
Comprendre Colossiens aujourd'hui
Hébreux —  
Apocalypse : Plus que vainqueurs
Commentaire sur l'Apocalypse de Jean
L'apocalypse de saint Jean
L'apocalypse de Jean — Une lecture thématique
Commentaire Evangélique de la Bible (CEB)
Collection mon ABC de la Bible
Commentaires de Jean Calvin sur le Nouveau Testament
Commentaires de John MacArthur du Nouveau Testament
L'éthique et l'Ancien Testament
Vivre en chrétien aujourd'hui — Repères éthiques pour tous
Les 4 sens de la nature — De l'émerveillement à l'espérance
La Bible et l'écologie
"Loué sois-tu, Laudato si — L'encyclique sur l'écologie"
Pour une vie juste et généreuse
Dieu et le débat transgenre : Que dit vraiment la Bible sur l'identité de genre ? 
Dieu est-il homophobe ? 
Procréation Médicalement Assistée (PMA) 
Questions de vie et de mort — La foi et l'éthique médicale 
Le royaume de paix : une initiation à l'éthique chrétienne
Résurrection et expérience morale
"Soyez rationnels, devenez catholique ! "
Peut-on croire à la résurrection de Jésus ? 
La foi a ses raisons — Confessions d'un athée surpris par Dieu
L'apologétique chrétienne
La science peut-elle tout expliquer ? 
Dieu au banc des accusés
Dieu — La science — Les preuves : L'aube d'une révolution 
"Une foi, des arguments — Apologétique pour tous"
La divinité du Christ face à l'Islam
La Raison est pour Dieu — la foi à l'ère du scepticisme
Jésus : l'enquête
Intérêt(s) : Proposer des ressources pour ceux qui se destinent à servir dans l'Eglise
Le pasteur chrétien
Dans le ventre du poisson — Où l’on apprend la sainteté de sa vocation
Les trois angles de la croissance dans le service chrétien
Un coeur de berger — Un retour vers l’art de l’accompagnement spirituel
La prédication biblique 
"Frères, nous ne sommes pas des professionnels"
Un appel dangereux — Relever les défis du ministère pastoral
Vivre en disciple — Le prix de la grâce
La mortification du péché
L'imitation de Jésus-Christ
Pensées
Le voyage du pèlerin 
La croix de Jésus-Christ
Eloge de la discipline
Entendre la voix de Dieu — Comment développer une relation de dialogue avec Dieu
Le grand complot divin — Redécouvrir notre vie cachée en Dieu
Tactique du diable
Connaître Dieu
À Philémon — Réflexions sur la liberté chrétienne
Des paradoxes enrichissants — Quand la Bible semble se contredire
Les idoles du cœur
La prière
La souffrance
Idolâtrie ou liberté — le défi de l'Eglise au XXIème siècle
Le mariage
Etre parents
Je veux vivre ma féminité
Puis-je lui faire confiance même dans mes épreuves ?
Vers une vie sainte
Trop occupé pour ne pas prier
L'humilité — La beauté de la sainteté
À l'école de la prière
Demeurez en Christ
Le principe du trésor : Découvrir la joie de donner
Le ciel ou le vrai repos
"Crazy Love, Amour fou : Bouleversé par un Dieu irrésistible"
De la vie communautaire
Tout pour qu’il règne
Le retour de l’enfant prodigue
Touché par la grâce
Vous pouvez changer : La puissance transformatrice de Dieu pour grandir en sainteté
"Chrétien, tout simplement"
Les trésors de la foi
Une vie dans la présence de Dieu
Prendre plaisir en Dieu
La connaissance de l'Eternel
À la recherche de Dieu
Connaître les profondeurs de Jésus-Christ 
Le château intérieur
"Être assis, marcher, tenir ferme"
La vie chrétienne normale
Introduction à la vie dévote
Le contrebandier
La puissance du chrétien
Commentaire sur l'évangile selon saint Matthieu
La Règle pastorale
Traité de l'Amour de Dieu
Traité du Saint-Esprit
Histoire d'une âme
La montée du Carmel
La nuit obscure
Les exercices spirituels
Le Dialogue
Le Pédagogue
Scivias
Le désert au cœur des villes : Poustinia 
Prier dans le secret: La dimension contemplative de l'Evangile
Semences de contemplation
Le livre des Révélations
Mysticisme : étude sur la nature et le développement de la conscience spirituelle de l'homme 
