LEGENDE : ,Unnamed: 1
,The Expositor's Bible Commentary (12 volumes)
,Boice’s Expositional Commentaries (27 vols.)
,Thru the Bible: Genesis through Revelation
,Barnes' Notes on the Bible
,A Commentary on the Holy Bible
,
,
Ethique,
Intérêt(s) : Savoir comment agir et comment se conduire dans des situations et un monde complexes,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
L'éthique et l'Ancien Testament,Old Testament Ethics for the People of God
Vivre en chrétien aujourd'hui — Repères éthiques pour tous,
Les 4 sens de la nature — De l'émerveillement à l'espérance,
La Bible et l'écologie,
"Loué sois-tu, Laudato si — L'encyclique sur l'écologie",
Pour une vie juste et généreuse,Generous Justice
Dieu et le débat transgenre : Que dit vraiment la Bible sur l'identité de genre ? ,What Does the Bible Actually Say About Gender Identity?
Dieu est-il homophobe ? ,Is God Anti-Gay?
Procréation Médicalement Assistée (PMA) ,
Questions de vie et de mort — La foi et l'éthique médicale ,Matters of Life and Death
Le royaume de paix : une initiation à l'éthique chrétienne,The Peaceable Kingdom: A Primer in Christian Ethics
Résurrection et expérience morale,Resurrection and Moral Order: An Outline for Evangelical Ethics
,Christ and Culture
Ethique,Ethics
,Issues Facing Christians Today
,The Doctrine of the Christian Life
,Business for the Glory of God
,Uncommon Decency: Christian Civility in an Uncivil World
,Rediscovering Holiness
,Kingdom Ethics: Following Jesus in Contemporary Context
,Becoming Good: Building Moral Character
,Moral Choices: An Introduction to Ethics
,
,
Apologétique,
Intérêt(s) : Savoir rendre compte de la foi et de l'espérance chrétienne à des non-croyants ou à des croyants d'autres religions,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
"Soyez rationnels, devenez catholique ! ",
Peut-on croire à la résurrection de Jésus ? ,
La foi a ses raisons — Confessions d'un athée surpris par Dieu,
L'apologétique chrétienne,Christian Apologetics
La science peut-elle tout expliquer ? ,Can Science Explain Everything?
Dieu au banc des accusés,God in the Dock
Dieu — La science — Les preuves : L'aube d'une révolution ,
"Une foi, des arguments — Apologétique pour tous",
La divinité du Christ face à l'Islam,
La Raison est pour Dieu — la foi à l'ère du scepticisme,The Reason for God: Belief in an Age of Skepticism
Jésus : l'enquête,The Case for Christ
,Mere Christianity
,Reasonable Faith
,Christian Apologetics
,"God, Freedom, and Evil"
,Scaling the Secular City: A Defense of Christianity
,Tactics: A Game Plan for Discussing Your Christian Convictions
,The Case for the Resurrection of Jesus
,I Don't Have Enough Faith to Be an Atheist
,Mere Apologetics: How to Help Seekers and Skeptics Find Faith
,Can Man Live Without God?
,
,
Ministère pastoral,
Intérêt(s) : Proposer des ressources pour ceux qui se destinent à servir dans l'Eglise,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Le pasteur chrétien,The Reformed Pastor
,Lectures to My Students
,The Pastor: A Memoir
Dans le ventre du poisson — Où l’on apprend la sainteté de sa vocation,Under the Unpredictable Plant: An Exploration in Vocational Holiness
Les trois angles de la croissance dans le service chrétien,Working the Angles
Un coeur de berger — Un retour vers l’art de l’accompagnement spirituel,
,The Prodigal Prophet: Jonah and the Mystery of God's Mercy
La prédication biblique ,Biblical Preaching: The Development and Delivery of Expository Messages
,On Being a Pastor: Understanding Our Calling and Work
,The Art of Pastoring: Ministry Without All the Answers
"Frères, nous ne sommes pas des professionnels","Brothers, We Are Not Professionals: A Plea to Pastors for Radical Ministry"
,Liberating Ministry from the Success Syndrome
,The Great Omission: Reclaiming Jesus's Essential Teachings on Discipleship
,Adrenaline and Stress
,In the Name of Jesus: Reflections on Christian Leadership
Un appel dangereux — Relever les défis du ministère pastoral,Dangerous Calling: Confronting the Unique Challenges of Pastoral Ministry
,
,
Vie chrétienne / Edification,
"Intérêt(s) : Des ouvrages pour être fortifié/encouragé dans sa relation à Dieu, sa foi, sa piété, sa vie de prière, sa marche chrétienne",
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Vivre en disciple — Le prix de la grâce,The Cost of Discipleship
La mortification du péché,The Mortification of Sin
L'imitation de Jésus-Christ,The Imitation of Christ
Pensées,Pensées
Le voyage du pèlerin ,The Pilgrim’s Progress: From This World to That Which Is to Come
La croix de Jésus-Christ,The Cross of Christ
Eloge de la discipline,Celebration of Discipline
,Prayer: Finding the Heart's True Home
,Streams of Living Water: Celebrating the Great Traditions of Christian Faith
Entendre la voix de Dieu — Comment développer une relation de dialogue avec Dieu,Hearing God — Developing a Conversational Relationship With God
,The Spirit of the Disciplines: Understanding How God Changes Lives
Le grand complot divin — Redécouvrir notre vie cachée en Dieu,The Divine Conspiracy — Rediscovering Our Hidden Life in God
Tactique du diable,Screwtape Letters
Connaître Dieu,Knowing God
À Philémon — Réflexions sur la liberté chrétienne,
Des paradoxes enrichissants — Quand la Bible semble se contredire,Stop Taking Sides
Les idoles du cœur,Counterfeit Gods
La prière,Prayer: Experiencing Awe and Intimacy With God
La souffrance,Walking With God Through Pain and Suffering
Idolâtrie ou liberté — le défi de l'Eglise au XXIème siècle,
Le mariage,The Meaning of Marriage: Facing the Complexities of Commitment
Etre parents,Parenting: The 14 Gospel Principles That Can Radically Change Your Family
Je veux vivre ma féminité,Let Me Be a Woman
,Discipline: The Glad Surrender
Puis-je lui faire confiance même dans mes épreuves ?,Trusting God: Even When Life Hurts
Vers une vie sainte,The Pursuit of Holiness
Trop occupé pour ne pas prier,Too Busy Not to Pray: Slowing Down to Be With God
L'humilité — La beauté de la sainteté,Humility: The Beauty of Holiness
À l'école de la prière,With Christ in the School of Prayer
Demeurez en Christ,Abide in Christ 
,Absolute Surrender
Le principe du trésor : Découvrir la joie de donner,The Treasure Principle: Unlocking the Secret of Joyful Giving
Le ciel ou le vrai repos,The Saints' Everlasting Rest
"Crazy Love, Amour fou : Bouleversé par un Dieu irrésistible",Crazy Love: Overwhelmed by a Relentless God
De la vie communautaire,Life Together: The Classic Exploration of Faith in Community
,The Message: The Bible in Contemporary Language
,A Long Obedience in the Same Direction: Discipleship in an Instant Society
,If You Will Ask: Reflections on the Power of Prayer
,Spiritual Leadership: Principles of Excellence for Every Believer
Tout pour qu’il règne,My Utmost for His Highest
,Living By the Book: The Art and Science of Reading the Bible
,"The Way of the Heart: Connecting with God Through Prayer, Wisdom, and Silence"
Le retour de l’enfant prodigue,The Return of the Prodigal Son: A Story of Homecoming
Touché par la grâce,What's So Amazing About Grace?
Vous pouvez changer : La puissance transformatrice de Dieu pour grandir en sainteté,You Can Change: God's Transforming Power for Our Sinful Behavior and Negative Emotions
"Chrétien, tout simplement",Simply Christian: Why Christianity Makes Sense
Les trésors de la foi,Faith's Checkbook
,Morning and Evening: Daily Readings
Une vie dans la présence de Dieu,The Practice of the Presence of God
Prendre plaisir en Dieu,Desiring God: Meditations of a Christian Hedonist
La connaissance de l'Eternel,Knowledge of the Holy
À la recherche de Dieu,The Pursuit of God
,Studies in the Sermon on the Mount
,Union With God: Including 22 of Her Poems
Connaître les profondeurs de Jésus-Christ ,Experiencing the Depths of Jesus Christ
Le château intérieur,The Interior Castle
"Être assis, marcher, tenir ferme","Sit, Walk, Stand"
La vie chrétienne normale,The Normal Christian Life
,Thy Will Be Done: Letters to Persons in the World
Introduction à la vie dévote,Introduction to the Devout Life
Le contrebandier,God's Smuggler
La puissance du chrétien,Power Through Prayer
Commentaire sur l'évangile selon saint Matthieu,Homilies on the Gospel of Matthew
La Règle pastorale,The Book of Pastoral Rule
Traité de l'Amour de Dieu,On Loving God
Traité du Saint-Esprit,On the Holy Spirit
Histoire d'une âme,Story of a Soul
La montée du Carmel,The Ascent of Mount Carmel
La nuit obscure,Dark Night of the Soul
Les exercices spirituels,The Spiritual Exercises
Le Dialogue,The Dialogue
Le Pédagogue,"""The Paedagogus"" (The Instructor)"
,Religious Affections
,A Plain Account of Christian Perfection
,Drawing Near: Daily Readings for a Deeper Faith
Scivias,Scivias
Le désert au cœur des villes : Poustinia ,Poustinia: Christian Spirituality of the East for Western Man
Prier dans le secret: La dimension contemplative de l'Evangile,"Open Mind, Open Heart: The Contemplative Dimension of the Gospel"
Semences de contemplation,New Seeds of Contemplation
Le livre des Révélations,Revelations of Divine Love
Mysticisme : étude sur la nature et le développement de la conscience spirituelle de l'homme ,Mysticism: A Study in the Nature and Development of Spiritual Consciousness
,The Good and Beautiful God: Falling in Love with the God Jesus Knows
,The Life You've Always Wanted: Spiritual Disciplines for Ordinary People
,The Complete Book of Discipleship: On Being and Making Followers of Christ
,The Ragamuffin Gospel
,Abba's Child: The Cry of the Heart for Intimate Belonging
,
,
Ressources supplémentaires proposées par Eric,
,
Titre de l'ouvrage (français),Titre de l'ouvrage (anglais)
Un Miracle Chaque Jour d'Eric Célérier,
Un Miracle Chaque Jour sur Jesus.net,
,GotQuestions.org
,
,
Personnes référentes,Catégories
Pierre-Sovann Chauny (professeur de théologie systématique à la FJC**) ,Théologie systématique ; Confession de foi / Catéchisme
Jacques Nussbaumer (professeur de théologie systématique à la FLTE*) ,Théologie systématique ; Confession de foi / Catéchisme
Alexandre Antoine (professeur d'histoire de l'Eglise à la FLTE*) ,Histoire de l'Eglise
Marie-Nicole Boiteau (enseignante au collège des Bernardins) ,Histoire de l'Eglise
Maxime Georgel (auteur sur le site https://parlafoi.fr),Histoire de l'Eglise
Cédric Eugène (professeur de Nouveau Testament à la FLTE*),Commentaire biblique
Donald Cobb (professeur de Nouveau Testament à la FJC**) ,Commentaire biblique
Jean-Noël Aletti (exégète catholique) ,Commentaire biblique
Franck Meyer (président du comité protestant évangélique pour la dignité humaine),Ethique 
Marjorie Legendre (professeur d'éthique à la FLTE*) ,Ethique ; Vie chrétienne / Edification
Louis Schweitzer (ancien professeur d'éthique et de spiritualité à la FLTE*),Ethique ; Vie chrétienne / Edification
Yannick Imbert (professeur d'apologétique à la FJC**) ,Apologétique
Rémi Gomez (apologète et théologien) ,Apologétique
Matthieu Lavagna (apologète catholique) ,Apologétique
Erwan Cloarec (président du CNEF) ,Ministère pastoral
Christophe Paya (professeur de théologie pratique à la FLTE*) ,Ministère pastoral
,
*FLTE = Faculté Libre de Theologie Evangélique (située à Vaux-sur-Seine),
**FJC = Faculté Jean Calvin (située à Aix-en-Provence),
